	Zadanie/etap	Nazwa kosztu	Wydatki ogółem	Wydatki kwalifikowalne	VAT	Dofinansowanie	Uzasadnienie kosztu	Metody szacowania																		
TRUE	1	Materiały badawcze	268 140,00 zł	218 000,00 zł	0	174 400,00 zł	Umożliwia realizację zadania 1. Na koszt materiałów badawczych składają się między innymi: 10szt. klipsy druciany z zatyczką i przegrodą, 5 szt. elektrody pomocnicza z drutu metalowego, 5 szt. elektrody tytanowe powlekana z plytką z uchwytem, 5. szt elektrody prętowe grafitowa, 5 szt. elektrody metalowa, 3 szt. szkliste podłoża węglowe, 3 szt. kolektory prądu - folia ze stali , 3 szt. kolektory prądu - siatka ze stali, 10 szt. siatkowe elektrody węglowe, 10 szt. siatki przeciw elektrodowe i inne	Zaplanowano zakup materiałów badawczych służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – oferujących materiały elektrochemiczne: Redoxme AB-łączny koszt 207 000 zł netto MSE Supplies-łączny koszt 229 000 zł netto Przyjęto średni koszt na poziomie 218 000 zł netto. Jako koszt kwal. podano łączną sumę wszystkich materiałów, wycenioną przez firmy w oparciu o ilości zakupywanych materiałów. Metodologia wyliczenia: 1 kmp. x 218 000=218 000 zł																		
TRUE	1	Wynajem laboratorium	442 800,00 zł	360 000,00 zł	0	288 000,00 zł	Wnioskodawca nie dysponuje powierzchnią laboratoryjną umożliwiającą wykonanie badań. W ramach przedmiotowego kosztu wynajęta zostanie powierzchnia przystosowana do przeprowadzania badań ze względu na wymagane certyfikaty, bez aparatury badawczej. Powierzchnia zostanie wykorzystana do badań przemysłowych (etap 1).	Kwotę kosztu kwalifikowalnego ustalono na podstawie ofert cenowych w trzech nieruchomościach dysponujących niewyposażoną powierzchnią spełniającą wymagania Wnioskodawcy. Koszt oszacowana na podstawie wycen od takich podmiotów jak: Metodologia wyliczenia kosztu: Wartość najmu została oszacowana na podstawie ofert na portalu OTODOM i OLX.PL. Przyjęto średni koszt na poziomie 360 000 złotych netto.																		
TRUE	2	Specjalista ds. analiz numerycznych CFD	414 720,00 zł	414 720,00 zł	0	331 776,00 zł	Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół modelowania i symulacji procesów CFD). Zakres obowiązków: przeprowadzanie analiz numerycznych analizowanie wyników i interpretacja, opracowywanie raportów, koordynację zespołu specjalistów, wdrażanie nowych metod i optymalizację procesów badawczych, odpowiedzialny za przeprowadzenie analiz numerycznych rozchodzenia się ciepła oraz badania przepływu elektrolitów przez elektrody i układ hydrauliczny	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 23040 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 23040 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"																		
TRUE	2	Specjalista ds. badań i testów	322 560,00 zł	322 560,00 zł	0	258 048,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy
elektrochemiczny). Zakres obowiązków: planowanie, organizację i nadzór nad pracami badawczymi
i testowymi, analizowanie i interpretacja wyników, opracowywanie raportów i rekomendowanie
działań usprawniających, utrzymywanie wiedzy na temat nowych technologii i metod, wdrażanie
standardów jakości i bezpieczeństwa, koordynację zespołu specjalistów, współpracę z innymi działami,
analizę ekonomiczną wyników."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 17920 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 17920 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"	17 920,00																	
TRUE	2	"Konstruktor
"	599 040,00 zł	599 040,00 zł	0	479 232,00 zł	"Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: tworzenie i udoskonalanie konstrukcji ogniwa,
projektowanie mechaniczne ogniwa i stanowiska do badań, nadzór nad procesem zakupowym,
wykonawstwem i montażem ogniwa oraz stanowiska, współpraca z zespołem specjalistów, zapewnienie
zgodności projektów z normami branżowymi, analiza i interpretacja wyników badań,
terminowe dostarczenie projektów."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 16640 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 16640 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"	16 640,00																	
TRUE	2	Technik laboratoryjny	230 400,00 zł	230 400,00 zł	0	184 320,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: projektowanie układów pomiarowych i sterujących,
projektowanie i rozwijanie oprogramowania do zbierania i analizy wyników, przygotowanie
stanowisk do badań, prowadzenie badań i analizowanie wyników, dokumentowanie wyników
badań, utrzymanie i serwisowanie aparatury pomiarowej, praca z zespołem inżynierów i naukowców,
doskonalenie procesów pomiarowych."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 12800 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 12800 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"	12 800,00																	
TRUE	2	Mechanik	276 480,00 zł	276 480,00 zł	0	221 184,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: montaż i przygotowanie do pracy ogniwa baterii
ze strony mechanicznej, modyfikowanie ogniwa i stanowiska do badań, uczestnictwo w badaniach
na stanowisku, nadzór nad utrzymaniem i serwisowaniem stanowisk laboratoryjnych"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"	15 360,00																	
TRUE	2	Specjalista  ds. układów sterujących i pomiarowych	253 440,00 zł	253 440,00 zł	0	202 752,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: projektowanie i rozwijanie układów sterujących i
pomiarowych stanowisk badawczych elektrod, elektrolitów, w tym za projektu układu pomiarowego
i sterującego oraz oprogramowanie do zbierania i analizy wyników, optymalizacja i modernizacja
układów, przygotowywanie dokumentacji technicznej, doskonalenie procesów projektowych i
metodologii."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 14080 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 14080 PLN/1 mies./1
etatu. Czas realizacji: 18 mies"	14 080,00																	
TRUE	2	Odczynniki chemiczne do badań	339 480,00 zł	276 000,00 zł	0	220 800,00 zł	Umożliwia realizację zadania 2. Na koszt odczynników chemicznych do badań składa się między innymi: 0,2 kg Rutenu (III) chlorku hydratu, 1 kg Tert-butanolanu tytanu (IV), 200 l 2-Propanolu (izopropanolu), 50 kg aktywnego węgla w proszku, 50 kg Sodu węglanu, 20 kg amonu diwodorofosforanu, 50 kg dwutleneku tytanu, 20 kg Poli(alkoholu winylowyego), zhydrolizowanego 98,0%-98,8%,50 kg Cynku chlorku, 100 l 1-Metylo-2-pirolidynonu, 20 kg Karboksymetylocelulozowej soli sodowej i inne.	Zaplanowano zakup odczynników chemicznych do badań służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm oferujących odczynniki chemiczne: POL-AURA-łączny koszt 286 000,00 zł netto CHMES - łączny koszt 266 000 zł netto. Przyjęto średni koszt na poziomie 276 000 zł netto. Jako koszt kw. podano sumę wszystkich odczynników, wycenioną przez firmy w oparciu o zakupowane ilości. Metodologia wyliczenia kosztu: 1 komplet x 276 000 zł netto = 276 000 zł																		
TRUE	2	Stanowisko pomiarowe do ogniwa	92 250,00 zł	75 000,00 zł	0	60 000,00 zł	Umożliwia realizację etapu 2. Zaawansowane stanowisko pomiarowe umożliwia moni torowanie, pomiar parametrów oraz digitalizację wyników takich jak napięcie, prąd, natężenie przepływu elektrolitów, pH elektrolitów, temperatura i pojemność, co jest niezbędne do analizy wydajności i zachowania ogniw baterii przepływowej. Na stanowisku będą możliwe długotrwałe oraz powtarzalne testy ogniw z założonym scenariuszem badań.	Zaplanowano wynajem zaawansowanego stanowiska pomiarowego służącemu wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w ofercie urządzenia pomiarowe. Jako koszt kw. podano łączną kwotę za wszystkie planowane do wynajmu stanowiska., Wartość została oszacowana na podstawie ofert od dwóch firm: Symatic Sp. z o. o. - łączny koszt 50 000 zł netto Greenrobotics Sp. z o.o. - łączny koszt 100 000 zł netto. Przyjęto średni koszt 75 000 zł netto.																		
TRUE	2	Materiały badawcze	178 350,00 zł	145 000,00 zł	0	116 000,00 zł	Umożliwia realizację zadania 2. Na koszt materiałów badawczych składają się między innymi: 7 szt. klipsy druciany z zatyczką i przegrodą, 3 szt. elektrody pomocnicza z drutu metalowego, 3 szt. elektrody tytanowe powlekana z plytką z uchwytem, 3 szt elektrody prętowe grafitowa, 3 szt. elektrody metalowa, 2 szt. szkliste podłoża węglowe, 2 szt. kolektory prądu - folia ze stali, 2 szt. kolektory prądu - siatka ze stali, 7 szt. siatkowe elektrody węglowe, 7 szt. siatki przeciw elektrodowe i inne	Zaplanowano zakup materiałów badawczych służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie materiały elektrochemiczne: Redoxme AB - łączny koszt w kwocie 140 000,00 zł netto MSE Supplies - łączny koszt w kwocie 150 000 zł netto. Przyjęto średni koszt na poziomie 145 000 złotych netto. Jako koszt kw. podano łączną sumę wszystkich materiałów. Metodologia wyliczenia kosztu: 1 komplet x 145 000 zł netto = 145 000 zł.																		
TRUE	3	Automatyk	230 400,00 zł	230 400,00 zł	0	184 320,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący
i weryfikujący działanie baterii). Zakres obowiązków: Odpowiedzialny za opracowanie schematu
działania oraz zaprogramowanie układu do zarządzania parametrami pracy pakietu baterii, układu
do balansowania ogniw, układu bezpieczeństwa."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 19200 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 19200 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	19 200,00																	
TRUE	3	Elektromonter	130 560,00 zł	130 560,00 zł	0	104 448,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: Odpowiedzialny za budowę i przygotowywanie
do pracy stanowiska badawczego pakietu baterii, w tym za podłączenie układu pomiarowego i
sterującego, a także za późniejsze modyfikowanie stanowiska."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 10880 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 10880 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	10 880,00																	
TRUE	3	Elektromechanik	184 320,00 zł	184 320,00 zł	0	147 456,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: montaż i przygotowanie do pracy pakietu ogniw
baterii ze strony mechanicznej, modyfikowanie konstrukcji i stanowiska do badań, uczestnictwo w
badaniach na stanowisku, nadzór nad utrzymaniem i serwisowaniem stanowisk laboratoryjnych"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	15 360,00																	
TRUE	3	Stanowisko pomiarowe do pakietu ogniw	184 500,00 zł	150 000,00 zł	0	120 000,00 zł	Umożliwia realizację etapu 3. Zaawansowane stanowisko pomiarowe umożliwia moni torowanie, pomiar parametrów oraz digitalizację wyników takich jak napięcie, prąd, natężenie przepływu elektrolitów, pH elektrolitów, temperatura i pojemność, co jest niezbędne do analizy wydajności i zachowania ogniw baterii przepływowej. Na stanowisku będą możliwe długotrwałe oraz powtarzalne testy ogniw z założonym scenariuszem badań.	Zaplanowano wynajem zaawansowanego stanowiska pomiarowego służącemu wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w ofercie urządzenia pomiarowe. Jako koszt kw. podano łączną kwotę za wszystkie planowane do wynajmu stanowiska., Wartość została oszacowana na podstawie ofert od dwóch firm: Symatic Sp. z o. o. - łączny koszt 160 000 zł netto Greenrobotics Sp. z o.o. - łączny koszt 140 000 zł netto. Przyjęto średni koszt 150 000 zł netto.																		
TRUE	3	Odczynniki chemiczne do badań	169 740,00 zł	138 000,00 zł	0	110 400,00 zł	Umożliwia realizację zadania 3. Na koszt odczynników chemicznych do badań składa się między innymi: 0,1 kg Rutenu (III) chlorku hydratu, 0,5 kg Tert-butanolanu tytanu (IV), 100 l 2-Propanolu (izopropanolu), 25 kg aktywnego węgla w proszku, 25 kg Sodu węglanu, 10 kg amonu diwodorofosforanu, 25 kg dwutleneku tytanu, 10 kg Poli(alkoholu winylowyego), zhydrolizowanego 98,0%-98,8%, 50 kg Cynku chlorku, 50 l 1-Metylo-2-pirolidynonu, 10 kg Karboksymetylocelulozowej soli sodowej i inne.	Zaplanowano zakup odczynników chemicznych do badań służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających odczynniki chemiczne: POL-AURA - łączny koszt w kwocie 143 000 zł netto CHMES - łączny koszt w kwocie 133 000 zł netto. Przyjęto średni koszt na poziomie 138 000 zł netto. Jako koszt kw. podano łączną sumę wszystkich odczynników, Metodologia wyliczenia kosztu: 1 komplet x 138 000 zł netto = 138 000 zł.																		
TRUE	3	Materiały badawcze	88 560,00 zł	72 000,00 zł	0	57 600,00 zł	Umożliwia realizację zadania 3. Na koszt materiałów badawczych składają się między innymi: 3 szt. klipsy druciany z zatyczką i przegrodą, 2 szt. elektrody pomocnicza z drutu metalowego, 2 szt. elektrody tytanowe powlekana z plytką z uchwytem, 2 szt elektrody prętowe grafitowa, 2 szt. elektrody metalowa, 1 szt. szkliste podłoża węglowe, 1 szt. kolektory prądu - folia ze stali, 1 szt. kolektory prądu - siatka ze stali, 3 szt. siatkowe elektrody węglowe, 3 szt. siatki przeciw elektrodowe i inne	Zaplanowano zakup materiałów badawczych służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających materiały elektrochemiczne: Redoxme AB - łączny koszt 68 500,00 zł netto MSE Supplies - łączny koszt 75 500 zł netto. Przyjęto średni koszt na poziomie 72 000 zł netto. Jako koszt kw. podano sumę wszystkich materiałów, wycenioną przez firmy w oparciu o ilości zakupywanych materiałów. Metodologia wyliczenia: 1 kmp. x 72000 zł netto = 72000zł																		
TRUE	3	Wynajem laboratorium	147 600,00 zł	120 000,00 zł	0	96 000,00 zł	Wnioskodawca nie dysponuje powierzchnią laboratoryjną umożliwiającą wykonanie badań. W ramach przedmiotowego kosztu wynajęta zostanie powierzchnia przystosowana do przeprowadzania badań ze względu na wymagane certyfikaty, bez aparatury badawczej. Powierzchnia zostanie wykorzystana do badań przemysłowych	Kwotę kosztu kwalifikowalnego ustalono na podstawie ofert cenowych w trzech nieruchomościach dysponujących niewyposażoną powierzchnią spełniającą wymagania Wnioskodawcy. Koszt oszacowana na podstawie wycen od takich podmiotów jak: Metodologia wyliczenia kosztu: Wartość najmu została oszacowana na podstawie ofert na portalu OTODOM i OLX.PL. Przyjęto średni koszt na poziomie 120 000 złotych netto.																		
TRUE	4	Specjalista ds. analiz numerycznych CFD	138 240,00 zł	138 240,00 zł	0	82 944,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół modelowania
i symulacji procesów CFD). Zakres obowiązków: przeprowadzanie analiz numerycznych,
analizowanie wyników i interpretacja, opracowywanie raportów, koordynację zespołu specjalistów,
wdrażanie nowych metod i optymalizację procesów badawczych, odpowiedzialny za
przeprowadzenie analiz numerycznych rozchodzenia się ciepła oraz badania przepływu elektrolitów
przez elektrody i układ hydrauliczny pakietu baterii"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 80 godz. w miesiącu.
Wynagrodzenie: 11560 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 23040 PLN/1 mies./0,5
etatu. Czas realizacji: 12 mies"	23 040,00																	
TRUE	4	Specjalista ds. badań i testów	322 560,00 zł	322 560,00 zł	0	193 536,00 zł	"Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół testujący
i weryfikujący działanie baterii). Zakres obowiązków: planowanie, organizacja i nadzór nad
pracami badawczymi i testowymi, analizowanie i interpretacja wyników, opracowywanie raportów
i rekomendowanie działań usprawniających, utrzymywanie wiedzy na temat nowych technologii
i metod, wdrażanie standardów jakości i bezpieczeństwa, koordynację zespołu specjalistów,
współpracę z innymi działami"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 17920 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 17920 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	17 920,00																	
TRUE	4	Konstruktor	399 360,00 zł	399 360,00 zł	0	239 616,00 zł	"Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół testujący
i weryfikujący działanie baterii). Zakres obowiązków: tworzenie i udoskonalanie konstrukcji,
odpowiedzialny za stworzenie i udoskonalanie konstrukcji pakietu baterii, odpowiedzialny za projekt
mechaniczny, dokumentację techniczną, dobór komponentów, proces zakupowy, nadzór nad
wykonawstwem i montażem."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 16640 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 16640 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	16 640,00																	
TRUE	4	Automatyk	230 400,00 zł	230 400,00 zł	0	138 240,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący
i weryfikujący działanie baterii). Zakres obowiązków: Odpowiedzialny za opracowanie schematu
działania oraz zaprogramowanie układu do zarządzania parametrami pracy pakietu baterii, układu
do balansowania ogniw, układu bezpieczeństwa"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 19200 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 19200 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	19 200,00																	
TRUE	4	Specjalista ds. układów sterujących i pomiarowych	168 960,00 zł	168 960,00 zł	0	101 376,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: projektowanie i rozwijanie układów sterujących i
pomiarowych stanowisk badawczych elektrod, elektrolitów, w tym za projektu układu pomiarowego
i sterującego oraz oprogramowanie do zbierania i analizy wyników, optymalizacja i modernizacja
układów, przygotowywanie dokumentacji technicznej, doskonalenie procesów projektowych i
metodologii."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 14080 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 14080 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	14 080,00																	
TRUE	4	Elektromonter	307 200,00 zł	307 200,00 zł	0	184 320,00 zł	"Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: Odpowiedzialny za budowę i przygotowywanie
do pracy stanowiska badawczego pakietu baterii, w tym za podłączenie układu pomiarowego i
sterującego, a także za późniejsze modyfikowanie stanowiska"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 12800 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 12800 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	12 800,00																	
TRUE	4	Mechanik	184 320,00 zł	184 320,00 zł	0	110 592,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: montaż i przygotowanie do pracy pakietu ogniw
baterii ze strony mechanicznej, modyfikowanie konstrukcji i stanowiska do badań, uczestnictwo w
badaniach na stanowisku, nadzór nad utrzymaniem i serwisowaniem stanowisk laboratoryjnych"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	15 360,00																	
TRUE	4	Specjalista ds. bezpieczeństwa	115 200,00 zł	115 200,00 zł	0	69 120,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół testujący i
weryfikujący działanie baterii). Zakres obowiązków: tworzenie i wdrażanie strategii bezpieczeństwa,
ocenę ryzyka i identyfikację zagrożeń, zarządzanie systemem zarządzania bezpieczeństwem
informacji, prowadzenie szkoleń dla pracowników, nadzór nad wdrażaniem zasad bezpieczeństwa,
przygotowywanie raportów i analiz,, odpowiedzialny za zapewnienie, że wszystkie aspekty projektu
są zgodne z normami i prawem"	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 19200 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 19200 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	19 200,00																	
TRUE	4	Specjalista ds. Badań Elektrochemicznych	138 240,00 zł	138 240,00 zł	0	82 944,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy
elektrochemiczny). Zakres obowiązków: planowanie i realizacja prac badawczych z zakresu opracowania
elektrod i elektrolitów, analiza wyników badań, opracowywanie raportów i prezentacji
naukowych, współpraca z innymi zespołami naukowo-technicznymi, propozycja dalszych modyfikacji."	"Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport
Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi
w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu.
Wynagrodzenie: 23040 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 23040 PLN/1 mies./1
etatu. Czas realizacji: 12 mies"	23 040,00																	
TRUE	4	Odczynniki chemiczne do badań	168 510,00 zł	137 000,00 zł	0	82 200,00 zł	Umożliwia realizację zadania 4. Na koszt odczynników chemicznych do badań składa się między innymi: 0,1 kg Rutenu (III) chlorku hydratu, 0,5 kg Tert-butanolanu tytanu (IV), 100 l 2-Propanolu (izopropanolu), 25 kg aktywnego węgla w proszku, 25 kg Sodu węglanu, 10 kg amonu diwodorofosforanu, 25 kg dwutleneku tytanu, 10 kg Poli(alkoholu winylowyego), zhydrolizowanego 98,0%-98,8%, 50 kg Cynku chlorku, 50 l 1-Metylo-2-pirolidynonu, 10 kg Karboksymetylocelulozowej soli sodowej i inne.	"Zaplanowano zakup odczynników chemicznych do badań służącym wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających odczynniki chemiczne: POL-AURA - łączny koszt w kwocie 142 000 zł netto
CHMES - łączny koszt w kwocie 133 000 zł netto. Przyjęto średni koszt na poziomie 137 000 zł netto. Jako koszt kw. podano łączną sumę wszystkich odczynników, Metodologia wyliczenia kosztu: 1 komplet x 137 000 zł netto = 137 000 zł."																		
